Day;Line;Direction;Stop name;Stop id;Theorical arrival time;Arrival time delay;Departure time delay;;
11/08/2022;SEM:A;L'Etoile;Échirolles, Denis Papin;SEM:2075;69540;0;0;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;67864;0;54;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;69064;0;23;;
11/08/2022;SEM:A;L'Etoile;Le Pont-de-Claix, Edmée Chandon;SEM:4382;69691;0;0;;
11/08/2022;SEM:A;Victor Hugo;Le Pont-de-Claix, Edmée Chandon;SEM:4381;64028;0;3463;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Denis Papin;SEM:2074;64140;0;3515;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Auguste Delaune;SEM:2072;64221;0;3515;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Marie Curie;SEM:2070;64288;0;3515;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, La Rampe - Centre-Ville;SEM:2068;64348;0;3515;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, La Rampe - Centre-Ville;SEM:2068;68790;0;8;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Echirolles Gare;SEM:2207;64440;0;3512;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Echirolles Gare;SEM:2207;68880;0;8;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Essarts - La Butte;SEM:2066;64505;0;3513;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Surieux;SEM:2064;64604;0;3512;;
11/08/2022;SEM:A;Victor Hugo;Échirolles, Les Granges;SEM:2062;64717;0;3513;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Polesud - Alpexpo;SEM:2060;64800;0;3520;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Grand'place;SEM:2212;64980;0;3520;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Arlequin;SEM:2004;67485;0;98;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Arlequin;SEM:2004;65085;0;3521;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2006;67549;0;98;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2006;65149;0;3521;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Malherbe;SEM:2008;67620;0;98;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Malherbe;SEM:2008;65220;0;3521;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, MC2: Maison de la Culture;SEM:2010;67713;0;98;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, MC2: Maison de la Culture;SEM:2010;68313;0;10;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, MC2: Maison de la Culture;SEM:2010;65313;0;3521;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Mounier;SEM:2012;67842;0;98;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Mounier;SEM:2012;65442;0;3521;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Albert 1er de Belgique;SEM:2014;67920;0;82;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Albert 1er de Belgique;SEM:2014;68520;0;-6;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Albert 1er de Belgique;SEM:2014;65520;0;3505;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Verdun - Préfecture;SEM:2018;67620;0;-61;;
